Especie,Familia,tipo,color,lon_fr,anc_fr,pe_fr,semi_fr,lon_se,anc_se,pe_se,un_dis,sin_di
Machaerium millei,Fabaceae,samara,green,57.95,12.75,0.4478,1,11.00,3.00,,fruit,Anemochory
Maclura tinctoria,Moraceae,berry,yellow,16.00,0.50,2.5000,50,3.23,1.99,0.0034,fruit,Zoochory
Mimosa acantholoba,Fabaceae,pods,brown,65.00,175.00,,6,4.76,3.86,0.0156,fruit,Autochory
Mimosa pigra,Fabaceae,pods,brown,75.00,12.00,,22,5.00,2.40,0.0009,seed,Autochory
Muntingia calabura,Muntingiaceae,berry,red,8.00,6.50,1.4493,5139,0.50,0.33,0.0255,fruit,Zoochory
Myroxylon balsamun,Fabaceae,samara,yellow,90.00,20.00,0.7490,1,16.50,,,fruit,Anemochory
Piptadenia flava,Fabaceae,pods,brown,115.00,19.00,0.3580,6,5.01,3.02,0.119,seed,Autochory
Piscidia carthagenensis,Fabaceae,pods,brown,86.22,36.86,0.6098,5,8.46,4.74,0.0340,fruit,Anemochory
Pisonia aculeata,Nyctaginaceae,achene,brown,15.00,6.00,,1,12.12,3.03,0.0557,fruit,Zoochory
Pisonia floribunda,Nyctaginaceae,achene,brown,10.00,,,1,,,,fruit,Anemochory
Pithecellobium excelsum,Fabaceae,pods,red,55.43,9.20,0.9085,6,7.41,6.65,0.0524,seed,Zoochory
Prockia crucis,Salicaceae,berry,red,4.36,4.94,0.5313,12,1.37,0.76,0.0041,fruit,Zoochory
Prosopis juliflora,Fabaceae,pods,yellow,135.00,16.00,10.5400,15,6.40,3.98,0.0421,fruit,Zoochory
Psidium guajaba,Myrtaceae,berry,yellow,62.40,60.50,134.0000,350,3.31,2.60,0.0084,fruit,Zoochory
Randia armata,Rubiaceae,berry,brown,17.47,14.61,0.8325,10,7.56,4.72,0.0491,fruit,Zoochory
Rauvolfia tetraphylla,Apocynaceae,berry,black,6.60,8.02,0.3709,2,5.12,3.18,0.0308,fruit,Zoochory
Sapindus saponaria,Sapindaceae,drupe,yellow,12.50,12.50,3.1400,1,13.03,13.93,1.3959,fruit,Zoochory
Senna bicapsularis,Fabaceae,pods,brown,115.00,12.00,9.6900,55,3.48,2.75,0.0055,fruit,Autochory
Senna incarnata,Fabaceae,pods,brown,82.09,18.50,0.4307,16,4.32,2.52,0.0142,fruit,Autochory
Senna mollissima,Fabaceae,pods,brown,250.00,8.00,9.6900,41,7.34,4.28,0.0679,fruit,Autochory
Senna spectabilis,Fabaceae,pods,black,127.50,17.50,9.6900,60,6.05,4.09,0.0351,fruit,Autochory
Simira ecuadorensis,Rubiaceae,capsule,brown,37.35,45.82,40.1380,48,23.44,9.86,0.0598,seed,Anemochory
Sorocea bonplandii,Moraceae,drupe,black,13.00,10.93,1.1570,1,10.68,7.65,0.3589,fruit,Zoochory
Spondia purpuria,Sapindaceae,drupe,yellow,41.00,32.00,21.9,5,33.00,20.00,3.2000,fruit,Zoochory
Tecoma stans,Bignoniaceae,capsule,brown,140.00,6.00,,,16.09,5.63,0.0152,seed,Anemochory
Terminalia valverdeae,Combretaceae,samara,brown,74.24,24.77,0.9925,1,17.39,9.28,0.4755,fruit,Anemochory
Trichilia hirta,Meliaceae,capsule,brown,11.00,11.00,0.7000,4,7.33,5.20,0.0886,fruit,Zoochory
Triplaris cumingiana,Polygonaceae,achene,brown,40.00,10.00,0.0767,1,12.40,2.57,0.1430,fruit,Anemochory
Zizyphus thyrsiflora,Rhamnaceae,drupe,yellow,15.00,0.50,4.8000,1,13.72,11.15,1.0924,fruit,Zoochory
